issuer,closing_month,project,address,state,amount_financed,sector_guess,closed,entity_type,sponsor,source,source_url,retrieved
Phoenix Industrial Development Authority,Sep-2021,Chicanos Por La Causa (CPLC) Phoenix Memorial Redevelopment Project,"1201 and 1301 South 7th Avenue, and 515 West Buckeye Road in Phoenix, AZ",AZ,42000000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jun-2021,Mesquite TerraceX,"5033, 5039, 5045, 5107 N. 19th Ave., Phoenix, AZ",AZ,48000000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2020,Soluna II,"1825 E. Roosevelt St., Phoenix, AZ",AZ,8000000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2020,ASU Preparatory Academy,"5610 S. Central Ave., Phoenix, AZ 4441, 4447, 4453 S. 12th St., Phoenix, AZ",AZ,4335000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Sep-2020,Northwest Christian School,"16401 N. 43rd Ave., Phoenix, AZ",AZ,7395000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2019,Arizona State University - Downtown Phoenix Student Housing II,"Southwest corner of Fillmore Street and First Avenue in Phoenix, Arizona",AZ,61810000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2019,Goodwill of Central and Northern Arizona                                                          H18X0A,"2626 W. Beryl Ave., Phoenix, AZ 14063 N. Grand Ave., Surprise, AZ",AZ,18000000,industrial_or_other,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Aug-2019,Rowan University,"Rowan Boulevard, Glassboro, NJ",NJ,191425000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2019,Leman Academy of Excellence,"12255 N. La Canada Dr., Oro Valley, AZ",AZ,8385000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2019,Summit School                                                                                                   A,"4515 East Muirwood Dr., Phoenix, AZ",AZ,8700000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jan-2019,Arizona School for the Arts,"1410 N 3rd St, Phoenix, AZ 85004",AZ,10620000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2018,Leman Academy of Excellence,"12255 N. La Canada Dr., Oro Valley, AZ",AZ,21515000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2018,Vista College Preparatory,"812 and 901 S. 6th Ave., Phoenix, AZ 4510 and 4520 W. McDowell Rd., Phoenix, AZ",AZ,10500000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2018,Arizona State University - Downtown Phoenix Student HousingH1X0A,"120 E. Taylor St., Phoenix, AZ",AZ,104355000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2018,Ball Charter Schools (Val Vista)                                                                          H10AX,"4120 S. Val Vista Dr., Gilbert, AZ A109HX",AZ,7350000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2017,Legacy Traditional Schools - Phoenix Campus,"Northeast corner of N. 99th Ave. and W. Campbell Ave., Phoenix, AZ",AZ,25775000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Sep-2017,Legacy Traditional Schools-East Mesa Campus,"Southwest corner of S. Signal Butte Rd. and E. Guadalupe Rd., Mesa, AZ",AZ,21690000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Sep-2017,Legacy Traditional Schools-Cadence Campus,"Northwest corner of E. Lake Mead Pkwy. and Pawnee Ln., Henderson, NV",NV,22615000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jul-2017,Broadway Terrace Apartments,"12815 N. 28th Dr., Phoenix, AZ",AZ,8700000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jun-2017,La Palmilla Apartments,"3838 W. Camelback Rd., Phoenix, AZ",AZ,14775000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2016,Legacy Traditional Schools-Surprise Campus,"14506 W. Sweetwater Ave., Surprise, AZ",AZ,24310000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2016,Legacy Traditional Schools-Laveen Campus,"7900 S. 43rd Ave., Laveen, AZ",AZ,5880000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2016,Legacy Traditional Schools-Peoria Campus,"7877 W. Hillcrest Blvd., Peoria, AZ",AZ,12380000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2016,Legacy Traditional Schools-North Valley Campus,"5025 Valley Drive, North Las Vegas, NV",NV,22865000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2016,Legacy Traditional Schools-North Chandler Campus,"1900 N. McQueen Rd., Chandler, AZ",AZ,17475000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2016,Legacy Traditional Schools-Glendale Campus,"13901 N. 67th Ave., Glendale, AZ",AZ,16850000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2016,3rd and Indian School Assisted Living Project,"4000 N. 3rd Ave., Phoenix, AZ",AZ,29500000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Sep-2016,KIPP Tech Valley Charter School,"1 Dudley Heights, Albany, NY",NY,12000000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Aug-2016,Deer Valley Veterans Assisted Living Project,"2641 W. Union Hills Dr., Phoenix, AZ",AZ,21540000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2016,"Ridgeline Academy, Inc.","33625 N. North Valley Pkwy., Phoenix, AZ",AZ,6940000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2016,"Freedom Academy, Inc.","3916 E. Paradise Lane, Phoenix, AZ",AZ,6160000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
