issuer,closing_month,project,address,state,amount_financed,sector_guess,closed,entity_type,sponsor,source,source_url,retrieved
Phoenix Industrial Development Authority,Mar-2015,"BASIS Schools, Inc. - Phoenix","11850 N. 32nd St., Phoenix, AZ",AZ,9200000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2015,"BASIS Schools, Inc. - Peoria X","25950 N. Lake Pleasant Pkwy., Peoria, AZ",AZ,7300000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2015,"BASIS Schools, Inc. - Oro Valley","11155 N. Oracle Rd., Oro Valley, AZ",AZ,6100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2015,"BASIS Schools, Inc. - Flagstaff","1700 N. Gemini Dr., Flagstaff, AZ",AZ,7700000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2015,"BASIS Schools, Inc. - Chandler","1800 E. Chandler Blvd., Chandler, AZ",AZ,7300000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2015,Girl Scouts-Arizona Cactus-Pine Council,"1611 E. Dobbins Rd., Phoenix, AZ",AZ,10000000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2014,"Guam Facilities Foundation, Inc. Project","Barrigada, Guam",AZ,107400000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2014,Veterans Assisted Living YumaX,"2600 S. 4th Ave., Yuma, AZ",AZ,12900000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2014,Great Hearts Academies - Chandler Preparatory Academy/Archway Classical,"XAcademy - Chandler 1951 N. Alma School Rd., Chandler, AZ",AZ,9800000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2014,Great Hearts Academies - Arete Preparatory Academy/Archway Classical,"Academy - Arete 4525 E. Baseline Rd., Gilbert, AZ",AZ,16800000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2014,Great Hearts Academies - Cicero Preparatory Academy/Archway Classical,"XAcademy - Cicero 7205 N. Pima Rd., Scottsdale, AZ",AZ,16200000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2014,Great Hearts Academies - Trivium Preparatory Academy/Archway Classical,"Academy - Trivium 2001 N. Bullard Ave., Goodyear, AZ",AZ,20200000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2014,Great Hearts Academies - Lincoln Preparatory Academy/Archway Classical,"XAcademy - Lincoln 2250 S. Gilbert Rd., Chandler, AZ",AZ,17100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
